transaction_id,sender_id,receiver_id,amount,timestamp,is_flagged,is_fraud
TXN1000000,ACC2824,ACC1409,2346.34,2024-07-19 06:29:00,0,0
TXN1000001,ACC2679,ACC9935,15050.61,2024-03-04 07:21:00,1,0
TXN1000002,ACC2535,ACC4582,6583.73,2024-06-18 10:02:00,1,0
TXN1000003,ACC4257,ACC9928,4564.71,2024-11-01 11:38:00,0,0
TXN1000004,ACC1106,ACC3615,848.12,2024-11-03 17:43:00,0,0
TXN1000005,ACC6514,ACC2674,847.98,2024-03-08 12:51:00,0,0
TXN1000006,ACC6635,ACC5333,299.19,2024-02-01 15:21:00,0,0
TXN1000007,ACC7201,ACC2291,10056.15,2024-08-01 11:39:00,0,0
TXN1000008,ACC6925,ACC4150,4595.41,2024-02-20 15:33:00,1,1
TXN1000009,ACC5741,ACC2307,6156.25,2024-06-18 12:18:00,0,0
TXN1000010,ACC8428,ACC6977,104.0,2024-04-28 10:35:00,0,0
TXN1000011,ACC5374,ACC2169,17517.79,2024-05-04 14:51:00,0,0
TXN1000012,ACC8573,ACC7216,8932.15,2024-07-15 13:40:00,0,0
TXN1000013,ACC4598,ACC6313,1193.44,2024-02-10 17:35:00,1,0
TXN1000014,ACC6168,ACC7572,1003.39,2024-07-13 23:06:00,1,1
TXN1000015,ACC6155,ACC4483,1013.06,2024-12-29 12:41:00,0,0
TXN1000016,ACC8517,ACC3340,1813.77,2024-07-11 21:06:00,0,0
TXN1000017,ACC9830,ACC5304,3719.64,2024-11-07 23:25:00,0,0
TXN1000018,ACC4593,ACC3266,2827.69,2024-12-25 08:48:00,1,0
TXN1000019,ACC2796,ACC3504,1721.11,2024-04-26 11:53:00,0,0
TXN1000020,ACC2040,ACC7304,4731.85,2024-10-04 21:16:00,0,0
TXN1000021,ACC5119,ACC1188,751.17,2024-03-24 09:56:00,0,0
TXN1000022,ACC5371,ACC6573,1727.58,2024-03-22 05:30:00,0,0
TXN1000023,ACC1053,ACC5315,2281.39,2024-12-30 12:22:00,0,0
TXN1000024,ACC2743,ACC5889,3044.67,2024-05-24 20:13:00,0,0
TXN1000025,ACC9837,ACC9689,7689.68,2024-01-01 09:59:00,0,0
TXN1000026,ACC2832,ACC6947,1113.68,2024-08-11 22:11:00,0,0
TXN1000027,ACC2290,ACC2403,3610.15,2024-12-19 21:17:00,0,0
TXN1000028,ACC9727,ACC3060,4487.52,2024-04-03 11:48:00,0,0
TXN1000029,ACC3705,ACC5342,237.82,2024-11-04 02:52:00,0,0
TXN1000030,ACC4295,ACC6107,4676.67,2024-10-17 12:53:00,0,0
TXN1000031,ACC8177,ACC9479,934.81,2024-11-24 18:17:00,0,0
TXN1000032,ACC6539,ACC1344,336.32,2024-06-16 13:32:00,1,0
TXN1000033,ACC1964,ACC4750,14868.44,2024-02-19 01:54:00,0,0
TXN1000034,ACC2160,ACC9423,16853.15,2024-06-22 07:25:00,0,0
TXN1000035,ACC9834,ACC3167,8261.66,2024-12-10 04:31:00,0,0
TXN1000036,ACC7669,ACC4119,1816.44,2024-03-09 16:27:00,0,0
TXN1000037,ACC7939,ACC7735,513.89,2024-12-06 01:50:00,1,0
TXN1000038,ACC2612,ACC1993,5763.75,2024-10-20 04:19:00,0,0
TXN1000039,ACC2790,ACC5073,2900.45,2024-05-19 12:16:00,0,0
TXN1000040,ACC7912,ACC4006,650.76,2024-07-21 19:55:00,0,0
TXN1000041,ACC2235,ACC8260,3417.74,2024-03-12 07:04:00,1,1
TXN1000042,ACC1241,ACC2528,174.97,2024-06-21 03:01:00,0,0
TXN1000043,ACC4502,ACC7570,12002.11,2024-02-12 16:43:00,1,0
TXN1000044,ACC7396,ACC5345,1497.29,2024-11-27 07:50:00,0,0
TXN1000045,ACC8973,ACC3536,5431.28,2024-05-18 06:42:00,0,0
TXN1000046,ACC9883,ACC1998,1867.73,2024-08-16 08:38:00,1,1
TXN1000047,ACC9238,ACC9701,3670.55,2024-04-24 15:20:00,1,1
TXN1000048,ACC4044,ACC2122,3956.12,2024-02-19 11:42:00,0,0
TXN1000049,ACC2964,ACC5033,1021.94,2024-01-29 22:32:00,0,0
TXN1000050,ACC9565,ACC6183,17464.04,2024-07-08 21:12:00,0,0
TXN1000051,ACC4910,ACC5351,7461.23,2024-10-15 04:51:00,0,0
TXN1000052,ACC8491,ACC6180,14025.47,2024-02-22 19:46:00,1,1
TXN1000053,ACC2638,ACC2200,11260.76,2024-06-04 05:08:00,0,0
TXN1000054,ACC6718,ACC2127,4555.27,2024-06-26 21:10:00,0,0
