transaction_id,sender_id,receiver_id,amount,timestamp
TXN5001,CUST_1,MERCHANT_MAIN,4873,2026-03-05 09:01:00
TXN5002,CUST_2,MERCHANT_MAIN,4706,2026-03-05 09:02:00
TXN5003,CUST_3,MERCHANT_MAIN,1913,2026-03-05 09:03:00
TXN5004,CUST_4,MERCHANT_MAIN,3561,2026-03-05 09:04:00
TXN5005,CUST_5,MERCHANT_MAIN,1036,2026-03-05 09:05:00
TXN5006,MULE_A_5,MULE_B_5,49000,2026-03-05 10:00:00
TXN5007,MULE_B_5,MULE_C_5,48500,2026-03-05 10:10:00
TXN5008,MULE_C_5,MULE_A_5,48000,2026-03-05 10:20:00
TXN5009,SMURF_5_1,AGG_5,49500,2026-03-05 11:01:00
TXN5010,SMURF_5_2,AGG_5,49500,2026-03-05 11:02:00
TXN5011,SMURF_5_3,AGG_5,49500,2026-03-05 11:03:00
TXN5012,SMURF_5_4,AGG_5,49500,2026-03-05 11:04:00
TXN5013,SMURF_5_5,AGG_5,49500,2026-03-05 11:05:00
TXN5014,SMURF_5_6,AGG_5,49500,2026-03-05 11:06:00
TXN5015,SMURF_5_7,AGG_5,49500,2026-03-05 11:07:00
TXN5016,SMURF_5_8,AGG_5,49500,2026-03-05 11:08:00
TXN5017,SMURF_5_9,AGG_5,49500,2026-03-05 11:09:00
TXN5018,SMURF_5_10,AGG_5,49500,2026-03-05 11:10:00
TXN5019,AGG_5,CASHOUT_5,480000,2026-03-05 13:00:00
