transaction_id,sender_id,receiver_id,amount,timestamp
TXN2001,CUST_1,MERCHANT_MAIN,1392,2026-03-02 09:01:00
TXN2002,CUST_2,MERCHANT_MAIN,3193,2026-03-02 09:02:00
TXN2003,CUST_3,MERCHANT_MAIN,3079,2026-03-02 09:03:00
TXN2004,CUST_4,MERCHANT_MAIN,4775,2026-03-02 09:04:00
TXN2005,CUST_5,MERCHANT_MAIN,4021,2026-03-02 09:05:00
TXN2006,MULE_A_2,MULE_B_2,49000,2026-03-02 10:00:00
TXN2007,MULE_B_2,MULE_C_2,48500,2026-03-02 10:10:00
TXN2008,MULE_C_2,MULE_A_2,48000,2026-03-02 10:20:00
TXN2009,SMURF_2_1,AGG_2,49500,2026-03-02 11:01:00
TXN2010,SMURF_2_2,AGG_2,49500,2026-03-02 11:02:00
TXN2011,SMURF_2_3,AGG_2,49500,2026-03-02 11:03:00
TXN2012,SMURF_2_4,AGG_2,49500,2026-03-02 11:04:00
TXN2013,SMURF_2_5,AGG_2,49500,2026-03-02 11:05:00
TXN2014,SMURF_2_6,AGG_2,49500,2026-03-02 11:06:00
TXN2015,SMURF_2_7,AGG_2,49500,2026-03-02 11:07:00
TXN2016,SMURF_2_8,AGG_2,49500,2026-03-02 11:08:00
TXN2017,SMURF_2_9,AGG_2,49500,2026-03-02 11:09:00
TXN2018,SMURF_2_10,AGG_2,49500,2026-03-02 11:10:00
TXN2019,AGG_2,CASHOUT_2,480000,2026-03-02 13:00:00
