transaction_id,sender_id,receiver_id,amount,timestamp
TXN3001,CUST_1,MERCHANT_MAIN,1681,2026-03-03 09:01:00
TXN3002,CUST_2,MERCHANT_MAIN,1209,2026-03-03 09:02:00
TXN3003,CUST_3,MERCHANT_MAIN,1362,2026-03-03 09:03:00
TXN3004,CUST_4,MERCHANT_MAIN,2594,2026-03-03 09:04:00
TXN3005,CUST_5,MERCHANT_MAIN,3896,2026-03-03 09:05:00
TXN3006,MULE_A_3,MULE_B_3,49000,2026-03-03 10:00:00
TXN3007,MULE_B_3,MULE_C_3,48500,2026-03-03 10:10:00
TXN3008,MULE_C_3,MULE_A_3,48000,2026-03-03 10:20:00
TXN3009,SMURF_3_1,AGG_3,49500,2026-03-03 11:01:00
TXN3010,SMURF_3_2,AGG_3,49500,2026-03-03 11:02:00
TXN3011,SMURF_3_3,AGG_3,49500,2026-03-03 11:03:00
TXN3012,SMURF_3_4,AGG_3,49500,2026-03-03 11:04:00
TXN3013,SMURF_3_5,AGG_3,49500,2026-03-03 11:05:00
TXN3014,SMURF_3_6,AGG_3,49500,2026-03-03 11:06:00
TXN3015,SMURF_3_7,AGG_3,49500,2026-03-03 11:07:00
TXN3016,SMURF_3_8,AGG_3,49500,2026-03-03 11:08:00
TXN3017,SMURF_3_9,AGG_3,49500,2026-03-03 11:09:00
TXN3018,SMURF_3_10,AGG_3,49500,2026-03-03 11:10:00
TXN3019,AGG_3,CASHOUT_3,480000,2026-03-03 13:00:00
